accession,name,description,Study Disease/Focus,Study Design,Study Markerset,Parent study,Study Molecular Data Type,Study Content,Ancestry (computed),NIH Institute,Study Consent,Release Date,Embargo Release Date,Related Terms
"phs000001.v3.p1","NEI Age-Related Eye Disease Study (AREDS)","The Age-Related Eye Disease Study (AREDS) was initially designed as a long-term multi-center, prospective study of the clinical course of age-related macular degeneration (AMD) and age-related cataract. In addition  to collecting natural history data, AREDS included a clinical trial of high-dose vitamin and mineral supplements for AMD and a clinical trial of high","Cataract","Case-Control","Illumina100K, Affymetrix_100K, HumanOmni2.5-4v1_D","Not Applicable","Not Provided","16 phenotype datasets, 635 variables, 48 documents, 3 analyses, 3 molecular datasets, 4757 subjects, 6962 samples, 1 sub-studies","European (575), African American (11), Hispanic1 (2), South Asian (2), Other (3)","NEI","EDO --- Eye disease research only , GRU --- General research purposes","2012-04-05","2016-02-11","Cataract, Membranous; Cataracts, Membranous; Membranous Cataract; Membranous Cataracts; Pseudoaphakias"
"phs000007.v30.p11","Framingham Cohort","Startup of Framingham Heart Study. Cardiovascular disease (CVD) is the leading cause of death and serious illness in the United States. In 1948, the Framingham Heart Study (FHS) --  under the direction of the National Heart Institute (now known as the National Heart, Lung, and Blood Institute, NHLBI) -- embarked on a novel and","Cardiovascular Diseases","Prospective Longitudinal Cohort","HuEx-1_0-st, custom_probe_set, Affymetrix_50K, Affymetrix_100K, Genome-Wide_Human_SNP_Array_5.0, LegacySet, HapMap_phaseII, CVDSNP55v1_A, exome_vcf_grc37, HumanOmni5-4v1_B, target_markerset_grc36, SNP-PCR, HumanMethylation450, WES_markerset_grc36, WGS_markerset_grc36, FHSOmni_Axiom_PLINK_Markerset, HumanExome-12v1_CHARGE-ExomeChip-v6, 1000G_ref_panel, exome_vcf_ESP6800, WGS_markerset_grc37, WES_markerset_grc37, HRC1_ref_panel","Not Applicable","Not Provided","434 phenotype datasets, 61988 variables, 1293 documents, 3029 analyses, 27 molecular datasets, 15154 subjects, 51800 samples, 8 sub-studies","","NHLBI","HMB-IRB-MDS --- Health/medical/biomedical (irb, mds) , HMB-IRB-NPU-MDS --- Health/medical/biomedical (irb, npu, mds)","2018-10-12","2018-10-12","Body System, Cardiovascular; Cardiovascular; Cardiovascular Body System; Cardiovascular Organ System; Cardiovascular System; Cardiovascular Systems"
"phs000178.v10.p8","The Cancer Genome Atlas (TCGA)","The Cancer Genome Atlas (TCGA) is a comprehensive and coordinated effort to accelerate our understanding of the molecular basis of cancer through the application of genome analysis technologies, including  large-scale genome sequencing. TCGA is a joint effort of the National Cancer Institute (NCI) and the National Human Genome Research Institute (NHGRI","Neoplasms","Tumor vs. Matched-Normal","WGS_markerset_grc37","Not Applicable","Not Provided","3 phenotype datasets, 8 variables, 1 molecular datasets, 11429 subjects, 11429 samples, 1 sub-studies","","NCI","GRU --- General research use","2018-08-17","2018-08-17","Adenocarcinoma of lung; Carcinoma, squamous cell of head and neck; Adenocarcinoma, no subtype; Adenocarcinomas; Adenoma, Malignant; Adenomas, Malignant"
"phs000179.v6.p2","Genetic Epidemiology of COPD (COPDGene)","Chronic obstructive pulmonary disease (COPD) is the fourth leading cause of death in the United States and the only leading cause of death that is steadily increasing in frequency.  This project will establish a racially diverse cohort that is sufficiently large and appropriately designed for genome-wide association analysis of","Pulmonary Disease, Chronic Obstructive","Case-Control","HumanOmni1-Quad_v1-0_B, WES_markerset_grc37, custom_array","Not Applicable","Not Provided","4 phenotype datasets, 341 variables, 16 documents, 4 analyses, 5 molecular datasets,  SRA, 10371 subjects, 11951 samples, 2 sub-studies","European (978), Hispanic1 (3), Hispanic2 (3), Other Asian or Pacific Islander (2)","NHLBI","HMB --- Health/medical/biomedical , DS-CS --- Disease-specific (copd and smoking)","2019-05-03","2015-09-19","Emphysema; CAFL - Chronic airflow limitation; CAL - Chronic airflow limitation; COAD; COAD - Chronic obstructive airways disease; COLD"
"phs000200.v11.p3","Women's Health Initiative","The Women's Health Initiative (WHI) is a long-term national health study that has focused on strategies for preventing heart disease, breast and colorectal cancer, and osteoporotic fractures in postmenopausal  women. The original WHI study included 161,808 postmenopausal women enrolled between 1993 and 1998. The Fred Hutchinson Cancer Research Center in","Women's Health","Prospective Longitudinal Cohort","Genome-Wide_Human_SNP_Array_6.0, HumanOmni1-Quad_v1-0_B, exome_vcf_grc37, Cardio-Metabo_Chip, custom_PCR_marker_set, HumanOmniExpressExome-8v1_B, 1000G_ref_panel, exome_vcf_ESP6800, MEGA_Consortium_15063755_B2, target_markerset_grc37, HumanMethylation450","Not Applicable","Not Provided","86 phenotype datasets, 6208 variables, 72 documents, 14 molecular datasets, 143213 subjects, 104158 samples, 9 sub-studies","European (588), African (302), East Asian (2), African American (7967), Hispanic1 (526), Hispanic2 (2407), Other Asian or Pacific Islander (19), Other (196)","NHLBI","HMB-IRB --- Health/medical/biomedical (irb) , HMB-IRB-NPU --- Health/medical/biomedical (irb, npu)","2017-06-23","2017-11-02","Adrenal Gland Tumor; Adrenal Neoplasm; Adrenal Neoplasms; Adrenal Tumor; Adrenal neoplasia; Neoplasm of Adrenal Gland"
"phs000209.v13.p3","Multi-Ethnic Study of Atherosclerosis (MESA) Cohort","MESA The Multi-Ethnic Study of Atherosclerosis (MESA) is a study of the characteristics of subclinical cardiovascular disease (disease detected non-invasively before it has produced clinical signs and symptoms) and  the risk factors that predict progression to clinically overt cardiovascular disease or progression of the subclinical disease. MESA researchers","Cardiovascular Diseases","Prospective Longitudinal Cohort","Genome-Wide_Human_SNP_Array_6.0, CVDSNP55v1_A, exome_vcf_grc37, HumanExome-12v1-1, exome_vcf_ESP6800","Not Applicable","Not Provided","93 phenotype datasets, 22147 variables, 182 documents, 5 molecular datasets, 9780 subjects, 23922 samples, 3 sub-studies","","NHLBI","HMB --- Health/medical/biomedical , HMB-NPU --- Health/medical/biomedical (npu)","2014-11-18","2015-11-18","Atherogenesis"
"phs000218.v22.p8","NCI TARGET: Therapeutically Applicable Research to Generate Effective    Treatments","The Therapeutically Applicable Research to Generate Effective Treatments (TARGET) Initiative seeks to accelerate research in novel marker and drug development, along with understanding the molecular basis of pediatric malignancy,  through identification of genomic changes associated with the following childhood cancers: Acute Lymphoblastic Leukemia (ALL) - A fast-growing type","Neoplasms","Tumor vs. Matched-Normal","Not Provided","Not Applicable","Not Provided","2 phenotype datasets, 10 variables,  SRA, 5968 subjects, 11941 samples, 9 sub-studies","","NCI","PCR --- Pediatric cancer research","2019-09-13","2012-04-10","ALL, Childhood; Childhood ALL; Childhood Acute Lymphoid Leukemia; Childhood Precursor Lymphoblastic Leukemia; L1 Lymphocytic Leukemia; Leukemia, L1 Lymphocytic"
"phs000235.v13.p2","NCI Cancer Genome Characterization Initiative (CGCI)","The Office of Cancer Genomics at the National Cancer Institute is sponsoring a series of studies as part of the Cancer Genome Characterization Initiative (CGCI) to assess novel emerging  sequencing technologies in cancer. The CGCI program includes comprehensive characterization of the genetic aberrations found in different pediatric","Neoplasms","Tumor vs. Matched-Normal","Not Provided","Not Applicable","Not Provided","2 phenotype datasets, 6 variables,  SRA, 601 subjects, 723 samples, 6 sub-studies","","NCI","DS-CA-MDS --- Disease-specific (cancer, mds) , PCR --- Pediatric cancer research","2018-11-16","2013-06-20","Lung Tumor; Lung cancer; Neoplasm of Lung; Neoplasm of the Lung; Neoplasm, Lung; Neoplasm, Pulmonary"
"phs000280.v5.p1","Atherosclerosis Risk in Communities (ARIC) Cohort","The Atherosclerosis Risk in Communities (ARIC) Study, sponsored by the National Heart, Lung and Blood Institute (NHLBI), is a prospective epidemiologic study conducted in four U.S. communities. The four  communities are Forsyth County, NC; Jackson, MS; the northwest suburbs of Minneapolis, MN; and Washington County, MD. ARIC is designed to investigate","Cardiovascular Diseases","Prospective Longitudinal Cohort","Genome-Wide_Human_SNP_Array_6.0, CVDSNP55v1_A, HapMap_Phase3, exome_vcf_grc37, Cardio-Metabo_Chip, 1000G_ref_panel, exome_vcf_ESP6800, WES_markerset_grc37, targeted_region_sequencing, WGS_markerset_grc37, LegacySet, target_markerset_grc37, ExomeChip","Not Applicable","Not Provided","289 phenotype datasets, 18704 variables, 357 documents, 15 molecular datasets, 15678 subjects, 43640 samples, 6 sub-studies","","NHLBI","HMB-IRB --- Health/medical/biomedical (irb) , DS-CVD-IRB --- Disease-specific (cardiovascular disease, irb)","2018-12-11","2018-12-11","Atherogenesis; Body System, Cardiovascular; Cardiovascular; Cardiovascular Body System; Cardiovascular Organ System; Cardiovascular System"
"phs000285.v3.p2","CARDIA Cohort","CARDIA is a study examining the etiology and natural history of cardiovascular disease beginning in young adulthood. In 1985-1986, a cohort of 5115 healthy black and white men and  women aged 18-30 years were selected to have approximately the same number of people in subgroups of age (18-24 and 25-30), sex, race, and education","Cardiovascular Diseases","Prospective Longitudinal Cohort","iSELECT_HG18, Genome-Wide_Human_SNP_Array_6.0, 1000G_ref_panel, exome_vcf_grc37, custom_PCR_marker_set, exome_vcf_ESP6800","Not Applicable","Not Provided","322 phenotype datasets, 9364 variables, 115 documents, 7 molecular datasets,  SRA, 3622 subjects, 13539 samples, 4 sub-studies","European (148), African (9), African American (555), Hispanic1 (6), Hispanic2 (1), Other Asian or Pacific Islander (2), Other (4)","NHLBI","HMB-IRB --- Health/medical/biomedical (irb) , HMB-IRB-NPU --- Health/medical/biomedical (irb, npu)","2013-08-22","2014-08-22","Atherogenesis; Caloric Intake; Energy intake; BP - High blood pressure; BP+ - Hypertension; Blood Pressure, High"
"phs000286.v6.p2","The Jackson Heart Study (JHS)","The Jackson Heart Study (JHS) is a large, community-based, observational study whose participants were recruited from urban and rural areas of the three counties (Hinds, Madison and Rankin) that  make up the Jackson, MS metropolitan statistical area (MSA). Participants were enrolled from each of 4 recruitment pools: random, 17%; volunteer, 30","Cardiovascular Diseases","Prospective Longitudinal Cohort","CVDSNP55v1_A, Genome-Wide_Human_SNP_Array_6.0, Human1Mv1_C, exome_vcf_grc37, exome_vcf_ESP6800, HumanExome-12-v1-0-B","Not Applicable","Not Provided","110 phenotype datasets, 4690 variables, 2 documents, 9 molecular datasets, 3889 subjects, 12729 samples, 6 sub-studies","","NHLBI","HMB-IRB-NPU --- Health/medical/biomedical (irb, npu) , DS-FDO-IRB-NPU --- Disease-specific (focused disease only, irb, npu) , HMB-IRB --- Health/medical/biomedical (irb) , DS-FDO-IRB --- Disease-specific (focused disease only, irb)","2019-05-10","2019-05-10","Arrhythmia; Arrhythmia, Cardiac; Arrhythmias, Cardiac; Arrythmia; Cardiac Arrhythmias; Cardiac Dysrhythmia"
"phs000287.v6.p1","Cardiovascular Health Study (CHS) Cohort","Objectives The Cardiovascular Health Study (CHS) is a study of risk factors for development and progression of CHD and stroke in people aged 65 years and older. The objectives  of the Cardiovascular Health Study are to: 1) quantify associations of conventional and hypothesized risk factors with CHD and stroke; 2) assess the","Cardiovascular Diseases","Prospective Longitudinal Cohort","CVDSNP55v1_A, HumanCNV370-Duo_v1, exome_vcf_grc37, custom_PCR_marker_set, HumanOmni1-Quad_v1-0_B, exome_vcf_ESP6800, targeted_region_sequencing, WGS_markerset_grc37, WES_markerset_grc37, Cardio-Metabo_Chip, HumanExome-12v1","Not Applicable","Not Provided","56 phenotype datasets, 14718 variables, 22 documents, 11 molecular datasets, 5609 subjects, 16192 samples, 5 sub-studies","","NHLBI","HMB-IRB-MDS --- Disease-specific (cardiovascular disease, npu, mds) , HMB-IRB-NPU-MDS --- Disease-specific (cardiovascular disease, npu, mds) , DS-CVD-IRB-MDS --- Disease-specific (cardiovascular disease, npu, mds) , DS-CVD-IRB-NPU-MDS --- Disease-specific (cardiovascular disease, npu, mds)","2017-01-13","2018-01-13","Aging, Biological; Biological Aging; AP - Angina pectoris; Angina; Anginal syndrome; Angor Pectoris"
